iterations,relative_residual_norm,projected_residual_norm
1,0.0,0.0
2,0.9999999999999949,8.364638219481661e-201
3,0.9999999999603387,8.3646382188167e-201
4,0.9999999991347439,8.364638204718885e-201
5,0.9999999975064653,8.364638177719061e-201
6,0.9999999974191339,8.36463817629932e-201
7,0.9999998690058003,8.364636028040827e-201
8,0.9999942431682058,8.364541912127315e-201
9,0.9999941543324136,8.364540425978027e-201
10,0.999966114431914,8.364071348050222e-201
11,0.9998715573389838,8.362489604694685e-201
12,0.9996345968308994,8.35852640569623e-201
13,0.9985432902220782,8.340286268706064e-201
14,0.9950792220750859,8.282519707094224e-201
15,0.9921310238146956,8.233513886561027e-201
16,0.9921154304164236,8.233255075075081e-201
17,0.992102343188253,8.233037862896399e-201
18,0.9920912533410302,8.232853804018995e-201
19,0.9920817747517054,8.232696488918934e-201
20,0.9920736101609451,8.232560983312825e-201
21,0.9920665277453232,8.232443439191516e-201
22,0.8554327559359618,6.120951159006081e-201
23,0.8553797683778426,6.120192889678629e-201
24,0.855333002084871,6.119523687716963e-201
25,0.8552915202329793,6.118930134050574e-201
26,0.8552545558692596,6.1184012442718826e-201
27,0.6769765079128091,3.8334902103078656e-201
28,0.6769309511358846,3.8329742822657276e-201
29,0.6768898721230456,3.832509094429423e-201
30,0.6768527027577753,3.832088204635852e-201
31,0.46670508308346714,1.8219322524981887e-201
32,0.46667146105325286,1.8216697533013997e-201
33,0.4666407623211953,1.8214300938537998e-201
34,0.4666126575498172,1.821210698811858e-201
35,0.3408490736530846,9.717877003300623e-202
36,0.34082711169343555,9.716624737923684e-202
37,0.340806861241372,9.715470133778436e-202
38,0.2484766492372105,5.164381606704857e-202
39,0.248461551898123,5.163754054362466e-202
40,0.24844754619666545,5.163171912306695e-202
41,0.15180011458202733,1.9274865698633585e-202
42,0.15179096327334338,1.927254178827989e-202
43,0.1517824291439513,1.9270374732505624e-202
44,0.10870196664400861,9.883754848364991e-203
45,0.10869595659101361,9.882661947286595e-203
46,0.10869032628390313,9.881638156108428e-203
47,0.07818631041936677,5.113386268077738e-203
48,0.07818235547978823,5.112868974905961e-203
49,0.056476593433680555,2.6679896955960617e-203
50,0.05647382137349564,2.667727794300205e-203
51,0.05647120779463205,2.6674808779248e-203
52,0.05646874084282768,2.6672478245411053e-203
53,0.05646640974778983,2.667027614926347e-203
54,0.056464204714152526,2.666819322215567e-203
55,0.05646211681152096,2.666622101475007e-203
56,0.05646013788773045,2.666435181474902e-203
57,0.056458260488560834,2.666257857077397e-203
58,0.05645647778385996,2.6660894822343685e-203
59,0.05645478351082163,2.665929464609272e-203
60,0.05645317191487461,2.6657772599765005e-203
61,0.05645163770218083,2.665632367719868e-203
62,0.0564501759966403,2.665494326758966e-203
63,0.05644878229984303,2.6653627117557405e-203
64,0.05644745245662482,2.665237129851922e-203
65,0.056446182624412956,2.665117217765726e-203
66,0.05644496924648207,2.665002639258987e-203
67,0.0564438090247663,2.664893082563391e-203
68,0.05644269889824687,2.664788258334085e-203
69,0.056441636023804996,2.664687897836796e-203
70,0.0016325372616737995,2.22932490140063e-206
71,0.0016324819574657767,2.2291738617120745e-206
72,0.0016324289024808886,2.2290289696191943e-206
73,0.0016323779958126036,2.228889948962448e-206
74,0.0016323290977598983,2.228756417701798e-206
75,0.0016322821344072615,2.2286281735039663e-206
76,0.0016322369902862,2.2285049006130068e-206
77,0.001632193567756851,2.2283863320070098e-206
78,0.0016321517942889069,2.2282722692688258e-206
79,0.00163211157099148,2.2281624420405844e-206
80,0.0016320728186145525,2.2280566336298722e-206
81,0.0016320354967828286,2.227954733514856e-206
82,0.0016319994838328012,2.227856409259785e-206
83,0.0016319647714572497,2.2277616379480587e-206
84,0.001631931259329418,2.2276701454507205e-206
85,0.0016318989454512619,2.2275819261111412e-206
86,6.914256326747868e-5,3.998877620975245e-209
87,6.914257204493118e-5,3.998878636267677e-209
88,6.914146231531555e-5,3.998750274295923e-209
89,6.914048297980902e-5,3.9986369966688725e-209
90,6.914015945747703e-5,3.998599575890666e-209
91,6.914005036239587e-5,3.998586957256155e-209
92,6.913964658370131e-5,3.998540253804285e-209
93,6.913959642469261e-5,3.9985344521332454e-209
94,6.913894686224298e-5,3.998459320493281e-209
95,6.913855310906132e-5,3.998413777375619e-209
96,6.913809665352188e-5,3.998360982169158e-209
97,6.913787469465687e-5,3.998335309774807e-209
98,6.913742199668389e-5,3.9982829496936736e-209
99,6.0436079388746996e-5,3.0552005812133643e-209
100,6.043587711500552e-5,3.0551801303229493e-209
101,6.04365786146584e-5,3.05525105575141e-209
102,6.043633904411785e-5,3.055226833774819e-209
103,6.043622571401031e-5,3.0552153754745156e-209
104,6.0436438028468296e-5,3.0552368416573626e-209
105,6.043621854121154e-5,3.0552146502656357e-209
106,6.043588859154797e-5,3.0551812906571573e-209
107,6.0436222844890905e-5,3.0552150853909636e-209
108,6.0435944539661234e-5,3.055186947286421e-209
109,6.0436459546783895e-5,3.0552390172840025e-209
110,6.043547973837888e-5,3.0551399537509993e-209
111,6.043037242711595e-5,3.0546236050284643e-209
112,6.0431078294714426e-5,3.054694965582253e-209
113,6.0429939146579454e-5,3.0545798024121144e-209
114,6.043117011428382e-5,3.0547042482559164e-209
115,6.043058763152574e-5,3.054645361294863e-209
116,6.043072823132622e-5,3.0546595753889105e-209
117,6.043093052230198e-5,3.0546800262793255e-209
118,6.043081861673951e-5,3.054668713020798e-209
119,6.0431327928842777e-5,3.0547202028512756e-209
120,6.043027486753105e-5,3.054613742187697e-209
121,6.0437031931166496e-5,3.0552968889526237e-209
122,6.043680096969958e-5,3.055273537226689e-209
123,6.0436912864185077e-5,3.055284850485216e-209
124,6.0436802404245575e-5,3.055273682268465e-209
125,6.043698889493522e-5,3.055292537699344e-209
126,6.043709648545594e-5,3.0553034158325434e-209
127,6.043770472693101e-5,3.0553649135455644e-209
128,6.043767603643296e-5,3.0553620127100445e-209
129,6.04371065272281e-5,3.0553044311249753e-209
130,6.0437437904773435e-5,3.0553379357752297e-209
131,6.043148717766176e-5,3.054736302488411e-209
132,6.0431332232870424e-5,3.0547206379766036e-209
133,6.043167081541856e-5,3.054754867835738e-209
134,6.04314441374818e-5,3.054731951235131e-209
135,6.043131501675798e-5,3.0547188974752917e-209
136,6.0431121335154954e-5,3.0546993168355326e-209
137,6.0430715319113285e-5,3.0546582700129266e-209
138,6.0431227501443856e-5,3.054710049926956e-209
139,6.043122606676552e-5,3.05470990488518e-209
140,6.042975693827362e-5,3.0545613821065633e-209
141,6.0429699549717063e-5,3.0545555804355236e-209
142,6.042932652277102e-5,3.0545178695737654e-209
143,6.042938104223758e-5,3.054523381161253e-209
144,6.042909122766689e-5,3.0544940827225026e-209
145,6.042891188627102e-5,3.0544759525005034e-209
146,6.042947716854565e-5,3.0545330989602447e-209
147,6.042953742675035e-5,3.0545391907148364e-209
148,6.042878419487277e-5,3.05446304378244e-209
149,6.04104598336387e-5,3.0526108603030097e-209
150,6.041025747411439e-5,3.0525904094125947e-209
151,6.041018858561103e-5,3.052583447407347e-209
152,6.040988289192963e-5,3.0525525535090605e-209
153,6.041098079865687e-5,3.052663510467695e-209
154,6.041027613140386e-5,3.0525922949556826e-209
155,6.0409845577102014e-5,3.052548782422885e-209
156,6.040956858554571e-5,3.052520789360118e-209
157,6.042351704826417e-5,3.05393059542277e-209
158,6.042438943769416e-5,3.0540187808225736e-209
159,6.042474240747005e-5,3.054054461099468e-209
160,6.042457883636685e-5,3.0540379263370046e-209
161,6.042349982992498e-5,3.053928854921458e-209
162,6.042472231981456e-5,3.054052430514604e-209
163,6.042475532095934e-5,3.054055766475452e-209
164,6.042434639245848e-5,3.054014429569294e-209
165,6.042409529463919e-5,3.053989047258495e-209
166,6.042501215533971e-5,3.0540817289533545e-209
167,6.0424874411897154e-5,3.054067804942859e-209
168,6.042459605439856e-5,3.0540396668383166e-209
169,6.042451139902872e-5,3.054031109373533e-209
170,6.042406085828546e-5,3.053985566255871e-209
171,6.042497054537453e-5,3.0540775227418507e-209
172,6.042444970097258e-5,3.054024872577165e-209
173,6.0423555789509394e-5,3.0539345115507216e-209
174,6.042472088498177e-5,3.054052285472828e-209
175,6.042440809062009e-5,3.0540206663656615e-209
176,6.042493610951962e-5,3.054074041739227e-209
177,6.0424888760187064e-5,3.054069255360619e-209
178,6.0424310521405324e-5,3.054010803524894e-209
179,6.0424413829980764e-5,3.0540212465327654e-209
180,6.042489736915938e-5,3.054070125611275e-209
181,6.042527185826793e-5,3.054107981514809e-209
182,6.0425151333290874e-5,3.054095798005626e-209
183,6.0424340653091404e-5,3.05401384940219e-209
184,6.0424330609197716e-5,3.054012834109758e-209
185,6.042491602192855e-5,3.054072011154363e-209
186,6.042424308376776e-5,3.0540039865614223e-209
187,6.0425448340836324e-5,3.0541258216532564e-209
188,6.042490454330211e-5,3.054070850820155e-209
189,6.0424837106327584e-5,3.0540640338566834e-209
190,6.042481558387345e-5,3.0540618582300435e-209
191,6.042453148675542e-5,3.054033139958397e-209
192,6.042407090223134e-5,3.053986581548303e-209
193,6.0424779713107627e-5,3.0540582321856437e-209
194,6.0424666361329013e-5,3.05404677388534e-209
195,6.0424168471907e-5,3.0539964443890706e-209
196,6.0425078157339926e-5,3.05408840087505e-209
197,6.0425289076527044e-5,3.054109722016121e-209
198,6.042431626096829e-5,3.054011383691998e-209
199,6.0424964806428864e-5,3.054076942574747e-209
