iterations,relative_residual_norm,projected_residual_norm
1,0.0,0.0
2,1.0,0.00031559404741173327
3,0.9967520814473833,0.0003134685624894133
4,1.4372036849429055,0.00023187829995978241
5,2.094490699300787,0.00022765810723225896
6,2.190248418703377,0.0002330335717426994
7,2.1331144974308365,0.00023590366215736917
8,2.1068018243120687,0.0002271688486021517
9,2.151155519520569,0.0002262067638773872
10,2.06909539105747,0.0002227990453384492
11,2.0440350851855493,0.0002194568874107929
12,2.0204550035707562,0.00021604672099358066
13,1.986445132703027,0.00021082945238194072
14,1.926992543610445,0.0002049441494599838
15,1.8454786213661274,0.00020214430905083762
16,1.7879301552963278,0.00020213102854250243
17,1.7876226479263844,0.00020212132843243098
18,1.7762175018130806,0.00020211448873923776
19,1.7791430386383338,0.0002021093779240354
20,1.789467668925565,0.00020210670432688693
21,1.7899262513400669,0.0002021073125031922
22,1.7225376069632325,0.00016576562726846326
23,1.6816742228933268,0.00016577108623962942
24,1.6786069575156468,0.00016578452713031654
25,1.702869825055784,0.00016580654957804215
26,1.6661241456081233,0.00016583560719896312
27,1.5862336744612373,0.00013616262808228925
28,1.5318006022511528,0.00013619655855333728
29,1.4950134545102831,0.00013622966690515634
30,1.4818026158011093,0.00013626001732693595
31,1.4681880706105082,0.00010133411138662615
32,1.4421832116475535,0.00010135882421749109
33,1.4733673663225162,0.00010138308438512183
34,1.4275453335211516,0.00010140612343360046
35,1.418130323643028,7.918380256116136e-5
36,1.3858003025587133,7.920245274194257e-5
37,1.3225297560749703,7.921996414496184e-5
38,1.2899530423310421,6.192932363659664e-5
39,1.266019915181019,6.194989530026719e-5
40,1.2262570763590506,6.197221019429999e-5
41,1.2004965815218518,4.2438473164051454e-5
42,1.156487772584101,4.246695381102334e-5
43,1.1375506246172378,4.2498218760798944e-5
44,1.1179499140487679,3.311972949808842e-5
45,1.1009060759670815,3.315421208603106e-5
46,1.0850800237833063,3.318608598730651e-5
47,1.0911280394193454,2.6094263830053505e-5
48,1.0593881210529097,2.612352611986975e-5
49,1.0479893834244969,2.072014033082894e-5
50,1.0152802460745793,2.074814577747409e-5
51,0.9899385058988258,2.077449349539276e-5
52,0.9609311134674583,2.0801739653786278e-5
53,0.9392223054491923,2.0829496080654027e-5
54,0.9044286328979824,2.0857344162093078e-5
55,0.9028600142460477,2.088746631299335e-5
56,0.8774367761559072,2.0918722868387902e-5
57,0.886794907877371,2.0953420064082247e-5
58,0.8686004349175196,2.0990363834358285e-5
59,0.8529078500550837,2.1028205580549413e-5
60,0.8635479262107556,2.107074103945716e-5
61,0.8209268344473608,2.111284659879958e-5
62,0.8218605930539663,2.1154994774740508e-5
63,0.8008978305198873,2.1198742273116774e-5
64,0.7914920820673519,2.123965715815357e-5
65,0.7673084892111092,2.127633288039559e-5
66,0.7465029051783718,2.1312716526893376e-5
67,0.710431265714015,2.1346943678880422e-5
68,0.7104821383572721,2.137914481417809e-5
69,0.6984216583520857,2.141166252361083e-5
70,0.6601870029473078,3.2286074653657465e-6
71,0.6385617049704115,3.2604450632294814e-6
72,0.6212064829123263,3.2910900753393784e-6
73,0.6075707841616816,3.3235337481563043e-6
74,0.584914058374412,3.3558780533137844e-6
75,0.581498735333506,3.3904201002749675e-6
76,0.5724754888581217,3.4269615817969935e-6
77,0.5549507612155138,3.4641381829963558e-6
78,0.542621670822589,3.4992042488862112e-6
79,0.5220772171912621,3.533606797453113e-6
80,0.520458841532384,3.5697133398353677e-6
81,0.5003842609980875,3.60551015384826e-6
82,0.48737559181164725,3.6386477855083208e-6
83,0.5066169293759919,3.6760557470094765e-6
84,0.49439456875907595,3.71611494825178e-6
85,0.4775114624921125,3.7557289563413957e-6
86,0.4534396141170944,2.2816881611721174e-6
87,0.4405376999276641,2.3231826390192898e-6
88,0.41242356943356323,2.365188429498291e-6
89,0.39663822506337476,2.404981378208149e-6
90,0.38086375094040864,2.4419210594550504e-6
91,0.3819746852622668,2.481738368855619e-6
92,0.3790193230984694,2.523580728262234e-6
93,0.3707917806785183,2.5657244274081433e-6
94,0.3590446566000391,2.6066509146341994e-6
95,0.3661151218714066,2.647514894807499e-6
96,0.35508586412724824,2.6889092228461406e-6
97,0.3473146153602468,2.7272792293755186e-6
98,0.326601167510613,2.761461590471354e-6
99,0.3139290281960946,2.665019949393485e-6
100,0.3011859243582286,2.694344365195781e-6
101,0.29526285445792894,2.7175990464777954e-6
102,0.2807817684354774,2.7374659436577866e-6
103,0.27085283017815964,2.7529801997225128e-6
104,0.27452664791630027,2.7668269497957703e-6
105,0.26226308934591885,2.7794725553123806e-6
106,0.26276385879980496,2.7905519301119302e-6
107,0.2540337565416994,2.8007694458623993e-6
108,0.2393226963240055,2.8093246293821794e-6
109,0.24519573852304619,2.8192958427053017e-6
110,0.23650225466180544,2.830585011778168e-6
111,0.2334126463522254,2.820738497475144e-6
112,0.23062306725963722,2.833153858208012e-6
113,0.2211275978249828,2.8427676747539224e-6
114,0.21921491122597128,2.852024797754364e-6
115,0.22169157230655695,2.865317915203339e-6
116,0.2032363908385327,2.87660893734333e-6
117,0.1973448335881422,2.886656869231113e-6
118,0.18965112533322717,2.8961326896977243e-6
119,0.18462024847110128,2.9045057445057612e-6
120,0.17888679096461058,2.913267938973042e-6
121,0.17915662220319592,2.9197935323375945e-6
122,0.17390514292917478,2.9270877111442365e-6
123,0.1747482551729378,2.9338422633941146e-6
124,0.1745054225144294,2.9398457055939678e-6
125,0.16769192663345192,2.947839321601367e-6
126,0.1611860689557792,2.955002265217759e-6
127,0.1597093622519499,2.9629959326861097e-6
128,0.1582340245484291,2.97168377935323e-6
129,0.15423902798440647,2.980915472196072e-6
130,0.15105371536677953,2.990150111116649e-6
131,0.1443515119454845,2.9989659606627903e-6
132,0.1463362235076612,3.0070370736849086e-6
133,0.14383053463690842,3.0173170127312395e-6
134,0.13962411181823686,3.027745438638344e-6
135,0.13387348913180924,3.035951624496896e-6
136,0.13371100947275075,3.0438785037318282e-6
137,0.13058041497747744,3.051975237302327e-6
138,0.12870864443092525,3.0616875037418195e-6
139,0.12747114781412217,3.0698803157077747e-6
140,0.12311652648647471,3.0774350294912557e-6
141,0.1252897342532778,3.0853351997257254e-6
142,0.12352527709611105,3.093344274709834e-6
143,0.11886040695501286,3.099040973285859e-6
144,0.11925000823277108,3.1040320042308926e-6
145,0.11741643997108538,3.1088302732140975e-6
146,0.11829982286029363,3.1128114620297253e-6
147,0.11753305853718754,3.118863379720073e-6
148,0.11293283012906469,3.124242030720138e-6
149,0.1139540373770269,3.1279811574395954e-6
150,0.11170688643569716,3.1322931070221975e-6
151,0.11008161005945186,3.1370952171600646e-6
152,0.10952088763180194,3.1420868705629127e-6
153,0.10875948150552074,3.147188614838919e-6
154,0.10712829788870995,3.1522527940446216e-6
155,0.10822595138500221,3.1577669163238464e-6
156,0.10713813836642319,3.16549154207366e-6
157,0.10634044976870088,3.171953826118512e-6
158,0.10514848657752317,3.177988766394919e-6
159,0.10488151459026868,3.1834819630039844e-6
160,0.10590176122280694,3.1912107364642935e-6
161,0.10456531043491828,3.1983191020702262e-6
162,0.10447994478401985,3.205517037096616e-6
163,0.1036468918325902,3.212402887115863e-6
164,0.10337381609041539,3.2183043370160192e-6
165,0.1041917491768362,3.2257929772323097e-6
166,0.10400542740117774,3.2347526874268342e-6
167,0.10333862172117983,3.241995718147384e-6
168,0.10294901220587148,3.248708299019283e-6
169,0.10310796854434764,3.254060402539639e-6
170,0.1025497196961136,3.2598459949549478e-6
171,0.10268443728425398,3.2635793828465352e-6
172,0.10290138668486748,3.2693781580412024e-6
173,0.10258422582927947,3.2754551571739527e-6
174,0.10239550176907701,3.278473555007929e-6
175,0.10251103072405328,3.281689386901512e-6
176,0.10242806743817487,3.2851487640550635e-6
177,0.10227655336183021,3.286943221136472e-6
178,0.10232398909348107,3.288595721069479e-6
179,0.1022681617299129,3.290388378288491e-6
180,0.10225515134002922,3.291544528142838e-6
181,0.10222684077104466,3.29266004592797e-6
182,0.1022413269831349,3.2933958402200014e-6
183,0.102203323050622,3.2941258609995596e-6
184,0.10219785280415304,3.294532380503112e-6
185,0.10220633253899852,3.294890958480427e-6
186,0.10220191849116848,3.295309071401828e-6
187,0.10219469242246297,3.2955836053022696e-6
188,0.10219613497139057,3.2958131472636087e-6
189,0.10219848991951684,3.2960616770691224e-6
190,0.10220169128661893,3.296303932699338e-6
191,0.10220353000160379,3.296439484485442e-6
192,0.10220681113179544,3.2966632237444956e-6
193,0.10220719614282718,3.2967764720528503e-6
194,0.10220743028883442,3.2967975022350033e-6
195,0.10220773166809653,3.2968261922045657e-6
196,0.10220779589971651,3.2968312834610837e-6
197,0.10220779294699305,3.2968320180828113e-6
198,0.1022077885921659,3.2968317679523827e-6
199,0.10220778738973985,3.29683169337391e-6
