iterations,relative_residual_norm,projected_residual_norm
1,0.0,0.0
2,0.9999999999999774,9.719505704492145e-11
3,0.9980271897209401,9.680103161656958e-11
4,1.0878480595806297,8.741176315031698e-11
5,1.2352890084617507,8.801110595793854e-11
6,1.2609844722248178,8.907013813080408e-11
7,1.2171293432710408,8.756695458825319e-11
8,1.1583459563321008,8.532289204043454e-11
9,1.136033585971399,8.535742969153855e-11
10,1.1263756789686468,8.411812281387799e-11
11,1.1206829353932313,8.297833235908629e-11
12,1.1056229944542488,8.188793859508334e-11
13,1.0716964356086935,7.999574503768669e-11
14,1.0508461135836284,7.756593324850214e-11
15,1.0293985201041889,7.63009957280636e-11
16,1.0181493551557825,7.629523032072859e-11
17,1.0104716479975642,7.629044446796325e-11
18,1.0064250987951768,7.628650583744856e-11
19,0.9967229730048949,7.628322354016283e-11
20,0.9894694251770069,7.62804587889343e-11
21,0.9845605795429627,7.627811962232954e-11
22,0.8681927812975162,5.6617318334250486e-11
23,0.8643243411577498,5.661256490785451e-11
24,0.857014096993662,5.66083987344583e-11
25,0.8486926186681256,5.660466789193306e-11
26,0.8443994854250702,5.6601301560239643e-11
27,0.7460619907759178,4.1952749657012556e-11
28,0.7434608766186654,4.1949645614674116e-11
29,0.7397999043696373,4.1946933896781264e-11
30,0.7316680829354576,4.194462996398552e-11
31,0.614447647350026,2.7733532472813182e-11
32,0.6087868160652202,2.7731933575821106e-11
33,0.606423741102538,2.7730599214919858e-11
34,0.604198229470581,2.7729532803691596e-11
35,0.5301072053498582,1.9908458867775613e-11
36,0.5259307125851032,1.990808407383195e-11
37,0.5222775976640802,1.990788453060049e-11
38,0.46074669305290816,1.4363512129937913e-11
39,0.4551797502884949,1.4363800576278547e-11
40,0.4494367894012326,1.4364121580742425e-11
41,0.3751802771960925,8.686236603941015e-12
42,0.36820043004508823,8.687004833308005e-12
43,0.3658566228394182,8.687828533803777e-12
44,0.3230943137369858,6.2130146459878936e-12
45,0.32003041707172214,6.214019192484551e-12
46,0.31997532871912915,6.215195328535399e-12
47,0.2871198980657818,4.482938311992064e-12
48,0.2790128811706932,4.484226632627943e-12
49,0.2542092503632113,3.2621136534481482e-12
50,0.25003210986509633,3.2635008012823255e-12
51,0.24696025270770136,3.26486872767619e-12
52,0.2429888994867045,3.2662946600985154e-12
53,0.23908648840340727,3.2677958824977657e-12
54,0.23526664823871962,3.26937197707777e-12
55,0.23068408771337456,3.2709213085697373e-12
56,0.22711501750025595,3.2724503744390185e-12
57,0.2250597462300346,3.2739481719551683e-12
58,0.22095387866971006,3.2754182516746825e-12
59,0.21861927269201215,3.276683958949481e-12
60,0.21690174497054443,3.2778594220181124e-12
61,0.21426439359930569,3.278933037077969e-12
62,0.21201516722020225,3.2799242253123233e-12
63,0.2105090145415384,3.2807691281954547e-12
64,0.21058722671696933,3.2815438751556465e-12
65,0.20879239402403693,3.282269700066642e-12
66,0.2062412334215552,3.2828321737637056e-12
67,0.2052877956393318,3.2832787537677316e-12
68,0.2040718890217962,3.2836854092098825e-12
69,0.20275764439544885,3.2840573705052308e-12
70,0.09059206405316048,1.730983791222873e-13
71,0.08797811762007915,1.7344804035081165e-13
72,0.08459637692930336,1.7379611197430703e-13
73,0.08315114848831852,1.7415098563486785e-13
74,0.08080444807503756,1.7448368558556155e-13
75,0.08116730135804838,1.7484051246913742e-13
76,0.07808868497972908,1.7520878228894483e-13
77,0.0768524886203997,1.7554769685037237e-13
78,0.07471126583491683,1.7584785643573525e-13
79,0.07186636153130517,1.7612119924629927e-13
80,0.06920743915847298,1.7633704824439634e-13
81,0.0679175843245557,1.765329104247423e-13
82,0.06559540115310736,1.7666703020283417e-13
83,0.0643274540015539,1.768095588397509e-13
84,0.06366029854237511,1.7693193798602964e-13
85,0.06220549050881139,1.770497679860967e-13
86,0.049528546688364004,6.057195704419248e-14
87,0.0488651543806985,6.077238286847329e-14
88,0.04832484398947644,6.100424736002144e-14
89,0.047146566128215175,6.126696839177331e-14
90,0.045598623606603605,6.154156934908965e-14
91,0.04377536818640727,6.181759635951356e-14
92,0.04230991193148207,6.210424911144882e-14
93,0.041670594752768235,6.237618997681282e-14
94,0.04144808864095245,6.266965116307327e-14
95,0.040488738088113214,6.29662138210223e-14
96,0.03923447650241494,6.325125753244123e-14
97,0.03766492006247349,6.351294173473184e-14
98,0.036871513282758166,6.375651707545518e-14
99,0.03563109979734883,5.913221623302616e-14
100,0.035325474836547306,5.935896425591912e-14
101,0.035012713254519545,5.957451622581424e-14
102,0.034418544961938226,5.977741897918588e-14
103,0.03353670735823916,5.996725425975703e-14
104,0.03242133727474939,6.01295628365149e-14
105,0.03209307077464754,6.027495000346678e-14
106,0.031212439474238463,6.040601810425595e-14
107,0.03064271984054377,6.05209405291596e-14
108,0.030410955627856638,6.0628484281638e-14
109,0.030000465480796667,6.07097032409747e-14
110,0.029951958012605737,6.079105304477468e-14
111,0.029297528480245145,6.045834133214136e-14
112,0.02904914753904708,6.055605882217894e-14
113,0.02861643237749445,6.064917359305794e-14
114,0.02838337182948142,6.075244683361473e-14
115,0.028259560207291562,6.086204221203897e-14
116,0.0278830030903543,6.09771707458202e-14
117,0.027637044770832103,6.107722862052591e-14
118,0.027473418829030344,6.117386963168592e-14
119,0.027379126548673326,6.12767666455813e-14
120,0.027160823166316943,6.138062998055367e-14
121,0.027032203479678777,6.145313198725491e-14
122,0.026926303546351345,6.153941625000293e-14
123,0.026797018273472053,6.163562041669e-14
124,0.026529067467470382,6.172746244399984e-14
125,0.026489869607698883,6.181528954550531e-14
126,0.026378551752117976,6.189953303840679e-14
127,0.026299095022639763,6.197776377585665e-14
128,0.026173708440711672,6.2052396989056e-14
129,0.026135625353416903,6.212565752111566e-14
130,0.026056647076622756,6.219717374630788e-14
131,0.02604506784012843,6.227463704908251e-14
132,0.02597850848025257,6.235441813201849e-14
