iterations,relative_residual_norm,projected_residual_norm
1,0.0,0.0
2,0.9999999999999983,1.0007311825658998e-85
3,0.9999989261965228,1.000729017993983e-85
4,0.9999939486958214,1.00071001399013e-85
5,0.9999874352688618,1.0007003252172186e-85
6,0.9999852435708741,1.0006996398533333e-85
7,0.9999257617015844,1.0005816720675931e-85
8,0.999616093007573,9.999622352976597e-86
9,0.9996132207616079,9.99956736341168e-86
10,0.9990938289514291,9.989180178649469e-86
11,0.9981866973438724,9.971050016827193e-86
12,0.9967693868252302,9.94275525286929e-86
13,0.9927103081907579,9.861942088863556e-86
14,0.9842699404285034,9.694956004992651e-86
15,0.978533848308913,9.582285670259487e-86
16,0.9785053053544026,9.58172681614777e-86
17,0.978481363327282,9.581258025399912e-86
18,0.9784610834789168,9.58086095593542e-86
19,0.9784437570711252,9.580521703572996e-86
20,0.9784288375631369,9.580229574331746e-86
21,0.9784158993301781,9.579976235122309e-86
22,0.8189284961343801,6.711342390617231e-86
23,0.8188753007108157,6.710470534151684e-86
24,0.8188283533258258,6.709701124006763e-86
25,0.8187867126486978,6.709018718845997e-86
26,0.8187496081214624,6.708410680258139e-86
27,0.6485284947563295,4.208967347725621e-86
28,0.6484863545795636,4.208420387042736e-86
29,0.6484483567526741,4.207927221954565e-86
30,0.6484139756215322,4.20748102185967e-86
31,0.45647102023798825,2.0851814538388855e-86
32,0.45644045989562576,2.0849022618626727e-86
33,0.4564125566392577,2.0846473606693726e-86
34,0.45638701113966823,2.084414011486007e-86
35,0.3416987357813647,1.168433973559725e-86
36,0.34167859215416563,1.1682962161740812e-86
37,0.34166001828022546,1.1681692011386523e-86
38,0.256327421226033,6.575178826009626e-87
39,0.25631333006153173,6.574455928424734e-87
40,0.2563002577340986,6.573785334133145e-87
41,0.16458802541787745,2.710902525526144e-87
42,0.16457916390841099,2.7106106208913453e-87
43,0.1645708999963858,2.710338415620547e-87
44,0.12231025221497045,1.4970736131642228e-87
45,0.12230426050220204,1.49692694020381e-87
46,0.1222986473487217,1.4967895406161675e-87
47,0.09146191033367794,8.371397585809433e-88
48,0.09145784120737216,8.37065271888358e-88
