iterations,relative_residual_norm,projected_residual_norm,orthogonality_data
1,0.0,0.0,0.0
2,Inf,0.0,5.10702591327572e-14
3,Inf,0.0,1.4277468096679513e-13
4,Inf,0.0,2.631228568361621e-13
5,Inf,0.0,3.739231146937527e-13
6,Inf,0.0,5.264677582772492e-13
7,Inf,0.0,7.041034422172743e-13
8,Inf,0.0,9.323652960802065e-13
9,Inf,0.0,1.1868284133242923e-12
10,Inf,0.0,1.4785950241957835e-12
11,Inf,0.0,1.780131597683976e-12
12,Inf,0.0,2.12674322597195e-12
13,Inf,0.0,2.4946711363327267e-12
14,Inf,0.0,2.8919089345436078e-12
15,Inf,0.0,3.311795282456842e-12
16,Inf,0.0,3.735012299443952e-12
17,Inf,0.0,4.190203739540266e-12
18,Inf,0.0,4.645617224241505e-12
19,Inf,0.0,5.14188691624895e-12
20,Inf,0.0,5.63749047444162e-12
21,Inf,0.0,6.155298493126793e-12
22,Inf,0.0,6.697753462958644e-12
23,Inf,0.0,7.277289881812976e-12
24,Inf,0.0,7.861711281975658e-12
25,Inf,0.0,8.434808407287164e-12
26,Inf,0.0,9.035661108214299e-12
27,Inf,0.0,9.652056931486186e-12
28,Inf,0.0,1.0295986285768777e-11
29,Inf,0.0,1.0946132888989268e-11
30,Inf,0.0,1.159050633248171e-11
31,Inf,0.0,1.2255529924232178e-11
32,Inf,0.0,1.2917444891513696e-11
33,Inf,0.0,1.361399881716352e-11
34,Inf,0.0,1.4334089470935396e-11
35,Inf,0.0,1.5073275960730825e-11
36,Inf,0.0,1.5837997580092633e-11
37,Inf,0.0,1.660582782392339e-11
38,Inf,0.0,1.7353452008705972e-11
39,Inf,0.0,1.8115731137413604e-11
40,Inf,0.0,1.8892887254651214e-11
41,Inf,0.0,1.96795912899006e-11
42,Inf,0.0,2.0479173912235638e-11
43,Inf,0.0,2.126965270576875e-11
44,Inf,0.0,2.2061685811536336e-11
45,Inf,0.0,2.2871038396488075e-11
46,Inf,0.0,2.3682167338279214e-11
47,Inf,0.0,2.4510171670044656e-11
48,Inf,0.0,2.53577159270435e-11
49,Inf,0.0,2.62323496258432e-11
50,Inf,0.0,2.7147173398134328e-11
51,Inf,0.0,2.8122393302965065e-11
52,Inf,0.0,2.9124702649596657e-11
53,Inf,0.0,3.017164296181818e-11
54,Inf,0.0,3.122724301363178e-11
55,Inf,0.0,3.2262414961792274e-11
56,Inf,0.0,3.329803099916262e-11
57,Inf,0.0,3.433209272429849e-11
58,Inf,0.0,3.536171355733586e-11
59,Inf,0.0,3.640021617457023e-11
60,Inf,0.0,3.7483349757394535e-11
61,Inf,0.0,3.859534913885909e-11
62,Inf,0.0,3.973843476501315e-11
63,Inf,0.0,4.087685745446379e-11
64,Inf,0.0,4.2129633115450815e-11
65,Inf,0.0,4.3430592455706574e-11
66,Inf,0.0,4.477285209247839e-11
67,Inf,0.0,4.612332737963243e-11
68,Inf,0.0,4.744782344801024e-11
69,Inf,0.0,4.882871884603901e-11
