iterations,relative_residual_norm,projected_residual_norm,orthogonality_data
1,0.0,0.0,0.0
2,0.02774706735374561,5.494817767034543e-89,2.886579864025407e-14
3,0.009415814101004092,8.654088873103052e-90,7.571721027943568e-14
4,0.0051639957675016805,2.6400205884794497e-90,1.3233858453531866e-13
5,0.0029929951831499713,8.874331138089175e-91,1.907363156306019e-13
6,0.0021861405651758224,4.7354513328724746e-91,2.646771690706373e-13
7,0.001790570994903627,3.176955215834646e-91,3.5638159090467525e-13
8,0.0013204962386092218,1.727830338271996e-91,4.75397499144492e-13
9,0.0011017068969776808,1.2027134663304201e-91,5.970779426434092e-13
10,0.0009818739127311024,9.553092196745257e-92,7.511768984613809e-13
11,0.0008767618170262041,7.617218334001396e-92,9.137135492665038e-13
12,0.0007863292856267062,6.126920456594874e-92,1.0909051439966788e-12
13,0.0006617623058663101,4.339476403792992e-92,1.2811973704174306e-12
14,0.0006081369590257737,3.6646811150537815e-92,1.4843681839238343e-12
15,0.0005514790823263777,3.0136409818901416e-92,1.7001955399109647e-12
16,0.0004959936549494476,2.4377304186418585e-92,1.9273471707492718e-12
17,0.0004479580632719282,1.9884201606249158e-92,2.1735946376111315e-12
18,0.0004059822409610205,1.6332306380784908e-92,2.440270208126094e-12
19,0.00036901291887584477,1.3493250700798316e-92,2.7255975254547593e-12
20,0.0003362378916529748,1.1202804522984385e-92,3.0098146197587994e-12
21,0.0003070183311792751,9.340326671180662e-93,3.299138739976115e-12
22,0.0002674369603965787,7.087226249079352e-93,3.5835778788850803e-12
23,0.0002447083066912699,5.933772179358888e-93,3.884670363163423e-12
24,0.0002242083828316882,4.981236233711098e-93,4.197753256107717e-12
25,0.00020566489819693367,4.191348736852961e-93,4.5288217620509386e-12
26,0.0001888471143020727,3.5338991747353582e-93,4.872546810474887e-12
27,0.00018374297652946447,3.345453143340905e-93,5.199396468924533e-12
28,0.00016925136600815164,2.838558323310618e-93,5.516032075547628e-12
29,0.00015601546420414083,2.41195250970753e-93,5.843325823207124e-12
30,0.00014390622344681922,2.0520720711820887e-93,6.163736188113944e-12
31,0.00012775723724216845,1.6173517328933317e-93,6.4932503818226905e-12
32,0.00011785114219975933,1.3762617739210636e-93,6.826983423025013e-12
33,0.00010875879816673522,1.1720934937645662e-93,7.171374605263736e-12
