iterations,relative_residual_norm,projected_residual_norm,orthogonality_data
1,0.0,0.0,0.0
2,0.004738586062107652,2.1473952952463336e-207,4.729550084903167e-14
3,0.0004944229006249863,1.8985190821494642e-207,1.567634910770721e-13
4,0.0004667477320414562,1.8173464493141586e-207,3.412825577697731e-13
5,0.0004626986074780184,1.7863322780357477e-207,6.374900607397649e-13
6,0.0004611252801209241,1.7742310974652267e-207,1.049382802875698e-12
7,0.00046060314457966033,1.7702219150611924e-207,1.5516476992161188e-12
8,0.00046056001576017463,1.7698925324400012e-207,2.155609024612204e-12
9,0.0004607372562145753,1.7712559048284865e-207,2.8488322811881517e-12
10,0.00046101083945214417,1.7733604087831053e-207,3.669509140991067e-12
11,0.0004613193225438358,1.775734635325196e-207,4.586109270121597e-12
12,0.00046163181327222636,1.7781412424437773e-207,5.593969731876314e-12
13,0.0004619333190832009,1.7804647580297277e-207,6.706635247155646e-12
14,0.000462216495934054,1.7826483880748217e-207,7.918998790046317e-12
15,0.0004624785241902278,1.7846701210391345e-207,9.213518836759249e-12
16,0.00046271926424504273,1.7865286065837318e-207,1.0551781670642413e-11
17,0.0004629393488997512,1.7882284787933563e-207,1.1932232979461332e-11
18,0.00046314009364964133,1.789779678831335e-207,1.3341328042315581e-11
19,0.00046332328539428077,1.7911958290212685e-207,1.481614830822764e-11
20,0.0004634898382420061,1.7924838391533657e-207,1.6300960581361323e-11
21,0.0004636420179254589,1.7936611011869856e-207,1.7831958132319414e-11
22,0.00046378077765188934,1.7947348831655234e-207,1.9364732040116905e-11
23,0.00046390776166259503,1.7957178211285035e-207,2.0931478772467926e-11
24,0.00046402414896280406,1.796618970034001e-207,2.2521540188336076e-11
25,0.0004641307675389879,1.797444681261387e-207,2.4130919484832702e-11
26,0.00046422883001658326,1.798204296951453e-207,2.573807833528008e-11
27,0.0004643191092761534,1.7989037638170147e-207,2.7355673282158932e-11
28,0.0004644024810481862,1.7995498335527445e-207,2.8972824139827935e-11
29,0.00046447928661786855,1.8001451227122815e-207,3.061817466232242e-11
30,0.00046455046938043116,1.800696919644869e-207,3.22653015416563e-11
31,0.00046461639744629864,1.8012080584668105e-207,3.391775749150838e-11
32,0.000464677771837029,1.8016839579388566e-207,3.558420225147074e-11
33,0.00046473447990167283,1.8021237304053383e-207,3.7245984074729677e-11
34,0.0004647876522480662,1.8025361320382724e-207,3.8903991139704885e-11
35,0.00046483696026263497,1.8029186043007304e-207,4.05984135198878e-11
36,0.0004648832268568119,1.803277521778767e-207,4.2299497238218464e-11
37,0.0004649263222669581,1.8036118706303684e-207,4.3995918019845703e-11
38,0.0004649668337574868,1.803926200816047e-207,4.569011835542369e-11
39,0.0004650046248122904,1.8042194477291674e-207,4.740097203637106e-11
40,0.00046504027322677297,1.804496090259772e-207,4.9116266609416925e-11
41,0.00046507385162991566,1.8047566882691165e-207,5.081646214932789e-11
42,0.0004651052547022618,1.8050004208207483e-207,5.251865609068318e-11
43,0.0004651349741316398,1.8052311010629586e-207,5.4217519362964595e-11
44,0.00046516285796147815,1.805447546905273e-207,5.591904717050511e-11
45,0.00046518950738381635,1.8056544228912072e-207,5.7625015870144125e-11
46,0.00046521440846849653,1.8058477374710862e-207,5.933475932806687e-11
47,0.00046523802386504284,1.8060310804288656e-207,6.106115613135898e-11
48,0.0004652603356489878,1.806204311074023e-207,6.280420628002048e-11
